gender;category;event;pool;total_results;ponderated best;best results
M;M30;100DO;25;58; 1'06"58;1'05"40;1'06"20;1'06"40;1'06"50;1'06"80;1'07"00
M;M35;100DO;25;43; 1'09"02;1'08"40;1'08"50;1'08"50;1'08"90;1'09"30;1'09"90
M;M40;100DO;25;35; 1'14"00;1'11"60;1'13"00;1'13"40;1'13"80;1'14"60;1'15"20
M;M45;100DO;25;35; 1'13"40;1'03"60;1'04"70;1'09"10;1'16"60;1'18"00;1'18"60
M;M50;100DO;25;19; 1'23"70;1'11"00;1'18"00;1'20"80;1'22"40;1'28"50;1'28"80
M;OVER;100DO;25;11; 1'45"26;1'38"40;1'40"70;1'40"80;1'46"60;1'47"10;1'51"10
M;SEN;200DO;25;8; 2'30"02;2'21"40;2'22"20;2'23"50;2'27"80;2'37"80;2'38"80
M;M20;200DO;25;12; 2'30"46;2'14"50;2'18"50;2'31"40;2'32"20;2'33"00;2'37"20
M;M25;200DO;25;11; 2'42"78;2'25"50;2'33"40;2'33"50;2'45"60;2'47"40;2'54"00
M;M30;200DO;25;6; 2'45"94;2'23"50;2'37"80;2'42"00;2'46"90;2'47"00;2'56"00
M;M35;200DO;25;6; 3'35"48;2'33"90;2'57"30;2'59"60;3'30"30;3'42"00;4'48"20
M;M40;200DO;25;6; 3'07"24;2'30"40;2'50"90;3'03"10;3'03"30;3'06"50;3'32"40
M;M45;200DO;25;5; 3'27"24;2'51"70;3'08"40;3'18"30;3'30"00;4'27"80
M;M50;200DO;25;3; 3'33"20;3'16"50;3'25"10;3'58"00
M;OVER;200DO;25;4; 3'44"35;2'34"90;3'38"50;4'10"30;4'33"70
M;SEN;50RA;25;138; 0'32"24;31"20;31"90;32"20;32"30;32"30;32"50
M;M20;50RA;25;357; 0'31"90;31"60;31"60;31"80;31"90;32"00;32"20
M;M25;50RA;25;367; 0'33"26;31"80;32"80;32"90;33"50;33"50;33"60
M;M30;50RA;25;370; 0'32"62;32"20;32"30;32"50;32"60;32"80;32"90
M;M35;50RA;25;285; 0'34"62;34"40;34"40;34"60;34"70;34"70;34"70
M;M40;50RA;25;245; 0'34"26;33"00;33"60;33"90;34"10;34"80;34"90
M;M45;50RA;25;194; 0'34"78;34"30;34"60;34"70;34"80;34"90;34"90
M;M50;50RA;25;89; 0'38"16;36"60;36"70;36"80;38"60;39"30;39"40
M;OVER;50RA;25;40; 0'41"98;41"00;41"90;41"90;42"00;42"00;42"10
M;SEN;100RA;25;19; 1'24"18;1'17"10;1'19"60;1'23"80;1'24"20;1'25"70;1'27"60
M;M20;100RA;25;118; 1'10"38;1'08"50;1'09"10;1'09"90;1'10"40;1'11"10;1'11"40
M;M25;100RA;25;80; 1'16"66;1'14"20;1'15"80;1'15"90;1'16"20;1'17"50;1'17"90
M;M30;100RA;25;97; 1'15"62;1'10"60;1'14"70;1'15"30;1'15"60;1'16"20;1'16"30
M;M35;100RA;25;78; 1'19"54;1'16"10;1'16"60;1'19"00;1'20"20;1'20"80;1'21"10
M;M40;100RA;25;75; 1'20"94;1'16"90;1'20"10;1'20"80;1'20"80;1'21"30;1'21"70
M;M45;100RA;25;72; 1'19"26;1'17"00;1'18"40;1'19"20;1'19"40;1'19"50;1'19"80
M;M50;100RA;25;26; 1'27"74;1'22"70;1'23"70;1'27"40;1'28"00;1'28"70;1'30"90
M;OVER;100RA;25;10; 1'41"72;1'31"60;1'34"00;1'34"80;1'34"90;1'50"30;1'54"60
M;SEN;200RA;25;5; 3'23"84;2'53"10;3'05"10;3'30"50;3'34"20;3'56"30
M;M20;200RA;25;4; 3'02"62;2'47"90;2'58"60;3'07"30;3'16"70
M;M25;200RA;25;7; 3'13"84;2'59"50;3'02"40;3'05"20;3'13"70;3'20"40;3'27"50
M;M30;200RA;25;13; 3'13"56;3'06"10;3'09"30;3'10"80;3'13"70;3'15"70;3'18"30
M;M35;200RA;25;6; 3'39"50;2'59"00;3'10"30;3'14"60;3'24"50;3'37"40;4'50"70
M;M40;200RA;25;6; 3'39"60;2'56"50;3'06"70;3'26"50;3'36"30;3'39"30;4'29"20
M;M45;200RA;25;6; 3'38"26;3'08"80;3'19"80;3'34"90;3'35"70;3'41"20;3'59"70
M;M50;200RA;25;2; 3'57"85;3'30"60;4'25"10
M;OVER;200RA;25;2; 3'45"50;2'55"40;4'35"60
M;SEN;100MI;25;98; 1'07"14;1'05"60;1'05"60;1'06"20;1'07"60;1'08"10;1'08"20
M;M20;100MI;25;320; 1'02"94;1'02"50;1'02"60;1'02"70;1'02"90;1'03"00;1'03"50
M;M25;100MI;25;308; 1'03"20;1'00"70;1'00"90;1'02"80;1'03"50;1'04"20;1'04"60
M;M30;100MI;25;311; 1'05"60;1'04"10;1'05"00;1'05"50;1'05"60;1'05"90;1'06"00
